Pakbon;Filiaal;Datum;Artikel nr;Artikel id;Leverancier;Hoofdgroep;Kleur id;Kleur;Kleur leverancier;Maat;Barcode;Barcode leverancier;Aantal;Material;GN -code;Weight article;Origin;Netto;Kostprijs;Valuta;Kostprijs Valuta
824197;26;10-06-2025;00037015;R40208;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;S;2900075904020;8713215888005;1;PL 96%,EA 4%;61099020;173;CN;150;6,31;CHF;5,93
824197;26;10-06-2025;00037015;R40208;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;XL;2900075904051;8713215888036;1;PL 96%,EA 4%;61099020;173;CN;150;6,20;CHF;5,83
824197;26;10-06-2025;00037015;R40208;Garcia;T-shirts.s(incl singlets);EKA00000200022460;9434 -papaya punch;9434 -papaya punch;M;2900075905034;8713215888135;1;PL 96%,EA 4%;61099020;173;CN;150;8,06;CHF;7,58
824197;26;10-06-2025;00037016;R41201;Garcia;T-shirts.s(incl singlets);EKA00000200008276;70-marine;70-marine;S;2900076398019;8713215878044;1;COT 100%;61091000;173;BD;150;4,48;CHF;4,21
824197;26;10-06-2025;00037016;R41201;Garcia;T-shirts.s(incl singlets);EKA00000200008276;70-marine;70-marine;XXL;2900076398057;8713215878082;1;COT 100%;61091000;173;BD;150;4,48;CHF;4,21
824197;26;10-06-2025;00037016;R41201;Garcia;T-shirts.s(incl singlets);EKA00000200022556;9832-bright apple;9832-bright apple;XXXL;2900075908066;8713215878150;1;COT 100%;61091000;173;BD;150;4,48;CHF;4,21
824197;26;10-06-2025;00037020;R41295;Garcia;Shirt short sleeves;EKA00000200020610;2034-stripe blue;2034-stripe blue;L;2900075913039;8713215868106;1;COT 100%;62052000;230;IN;200;13,47;CHF;12,66
824197;26;10-06-2025;00037022;R41208;Garcia;T-shirts.s(incl singlets);EKA00000200008276;70-marine;70-marine;XXL;2900076401054;8713215888722;1;COT 100%;61091000;173;BD;150;6,75;CHF;6,35
824197;26;10-06-2025;00037026;682/32;Garcia;Pants denim;EKA00000200022571;3318-medium used;3318-medium used;32-32;2900075927067;8717519093837;1;COT 80%,RCO 20%;62034231;920;BD;800;17,06;CHF;16,04
824197;26;10-06-2025;00037359;PG52004;Garcia;Bermuda/Shorts;EKA00000200022592;9022-dark used;9022-dark used;146;2900076339043;8717519137470;1;COT 100%;62046239;311;CN;270;12,33;CHF;11,59
824197;26;10-06-2025;00037380;Z0056;Garcia;Singlets;EKA00000200016753;60-black;60-black;S;2900076369064;8717519142450;1;COT 96%,EA 4%;61091000;86;CN;75;5,76;CHF;5,41
824197;26;10-06-2025;00037402;R41220;Garcia;Polo;EKA00000200008276;70-marine;70-marine;S;2900076402013;8713215869882;1;COT 70%,RCO 30%;61091000;288;BD;250;8,99;CHF;8,45
